teks,location,bulan,word_length,clean,clean_stem,sentiment,sentiment_text,num_sentimen_lexicon,cleaned
jeng jeng jeng monitoring ga nicc orangorang habis vaksin kemenkesri https,Jawa Barat,Mei,10,jeng jeng jeng monitoring ga nicc orangorang habis kemenkesri https,jeng jeng jeng monitoring ga nicc orangorang habis kemenkesri https,3,positive,1,jeng jeng jeng monitoring ga nicc orangorang habis vaksin kemenkesri
budimandjatmiko vaksinasi sdh pensiunan guru vaksin keduaaman,Jawa Tengah,April,5,budimandjatmiko sdh pensiunan guru keduaaman,budimandjatmiko sdh pensiun guru keduaaman,0,neutral,0,budimandjatmiko vaksinasi sdh pensiun guru vaksin keduaaman
pagi ditawarin vaksin hati pikiran buyar 😑,Banten,Februari,5,pagi ditawarin hati pikiran buyar,pagi ditawarin hati pikir buyar,4,positive,1,pagi ditawarin vaksin hati pikir buyar
my dad takut nak kena cucuk vaksin 😂 so cakap cucuk vaksin konvoi tertawa daftar vaksin,Aceh,Februari,12,my dad takut nak kena cucuk so cakap cucuk konvoi tertawa daftar,my dad takut nak kena cucuk so cakap cucuk konvoi tertawa daftar,0,neutral,0,my dad takut nak kena cucuk vaksin so cakap cucuk vaksin konvoi tertawa daftar vaksin
udah vaksin blom kloh yah berati andagolongankami https,DKI Jakarta,Maret,6,blom kloh yah berati andagolongankami https,blom kloh yah berat andagolongankami https,0,neutral,0,udah vaksin blom kloh yah berat andagolongankami
pembelian vaksin berasal kantong daerah pusat disetorkan daerah pusat pusat beli vaksinnya daerah beli berlaku daerah https,Jawa Barat,Februari,16,pembelian berasal kantong daerah pusat disetorkan daerah pusat pusat beli vaksinnya daerah beli berlaku daerah https,beli asal kantong daerah pusat setor daerah pusat pusat beli vaksin daerah beli laku daerah https,16,positive,1,beli vaksin asal kantong daerah pusat setor daerah pusat pusat beli vaksin daerah beli laku daerah
besok slesaiin rekon bun biar jumat kelar vaksin,Sulawesi Selatan,Maret,7,besok slesaiin rekon bun biar jumat kelar,besok slesaiin rekon bun biar jumat kelar,6,positive,1,besok slesaiin rekon bun biar jumat kelar vaksin
terbesar program imunisasi lumba lari meter menang sinarharian vaksin https https tcobcbrlhrxvq,Papua,Mei,11,terbesar program imunisasi lumba lari meter menang sinarharian https https tcobcbrlhrxvq,besar program imunisasi lumba lari meter menang sinarharian https https tcobcbrlhrxvq,6,positive,1,besar program imunisasi lumba lari meter menang sinarharian vaksin tcobcbrlhrxvq
vaksin bawaannya ngantuk cepat laper vaksinsinovac,Nusa Tenggara Barat,Januari,5,bawaannya ngantuk cepat laper vaksinsinovac,bawa ngantuk cepat laper vaksinsinovac,-1,negative,2,vaksin bawa ngantuk cepat laper vaksinsinovac
manfaat vaksinasi program vaksinasi pemerintah lupa vaksin mematuhi protokol kesehatan https,Kalimantan Utara,Januari,8,manfaat program pemerintah lupa mematuhi protokol kesehatan https,manfaat program perintah lupa patuh protokol sehat https,14,positive,1,manfaat vaksinasi program vaksinasi perintah lupa vaksin patuh protokol sehat
kntankgoreng suud vaksin ra wkwkw,Nusa Tenggara Barat,Juni,4,kntankgoreng suud ra wkwkw,kntankgoreng suud ra wkwkw,0,neutral,0,kntankgoreng suud vaksin ra wkwkw
rokok hisap non stop cakap rokok haram beza pendapat mai tang vaksin riuh sekampung,Sulawesi Utara,Mei,13,rokok hisap non stop cakap rokok haram beza pendapat mai tang riuh sekampung,rokok hisap non stop cakap rokok haram beza dapat mai tang riuh kampung,-2,negative,2,rokok hisap non stop cakap rokok haram beza dapat mai tang vaksin riuh kampung
bismillah twitter budiman butuh golongan darah a transfusi darah labu syaratnya kena covid vaksin covid jeda minimal mggu dr tanggal vaksin,Jawa Barat,Juni,17,bismillah twitter budiman butuh golongan darah a transfusi darah labu syaratnya kena jeda minimal mggu dr tanggal,bismillah twitter budiman butuh golong darah a transfusi darah labu syarat kena jeda minimal mggu dr tanggal,1,positive,1,bismillah twitter budiman butuh golong darah a transfusi darah labu syarat kena covid vaksin covid jeda minimal mggu dr tanggal vaksin
teman orang divaksin positif covid bu siti fadilah supari yaa vaksin menyelesaikan pandemi mikir,Lampung,Februari,11,teman divaksin positif bu siti fadilah supari yaa menyelesaikan pandemi mikir,teman vaksin positif bu siti fadilah supari yaa selesai pandemi mikir,3,positive,1,teman orang vaksin positif covid bu siti fadilah supari yaa vaksin selesai pandemi mikir
tersedia bentuk vaksin 😂 https,Jawa Tengah,Februari,3,tersedia bentuk https,sedia bentuk https,6,positive,1,sedia bentuk vaksin
alibralieus kau vaksin,Kalimantan Barat,Februari,1,alibralieus,alibralieus,0,neutral,0,alibralieus kau vaksin
nurut vaksin gratis giliran berbayar presidennya disalahain belet,Lampung,Maret,7,nurut gratis giliran berbayar presidennya disalahain belet,nurut gratis gilir bayar presiden disalahain bet,5,positive,1,nurut vaksin gratis gilir bayar presiden disalahain bet
halfmoonnnnnn secrethagrid tubirfess contoh negara penanganan covid serius testingtracing nya kenceng vaksin ngebut positif tp death rate rendah negara lepas masker mayoritas vaksinasi https,Banten,Juni,20,halfmoon secrethagrid tubirfess contoh negara penanganan serius testingtracing nya kenceng ngebut positif death rate rendah negara lepas masker mayoritas https,halfmoon secrethagrid tubirfess contoh negara tangan serius testingtracing nya kenceng ngebut positif death rate rendah negara lepas masker mayoritas https,-12,negative,2,halfmoonnnnnn secrethagrid tubirfess contoh negara tangan covid serius testingtracing nya kenceng vaksin ngebut positif tp death rate rendah negara lepas masker mayoritas vaksinasi
besok vaksin gmna hdehhh,Bali,Juni,3,besok gmna hdehhh,besok gmna hdehhh,0,neutral,0,besok vaksin gmna hdehhh
plindungi sistem gangguan sih daftar ulang puskesmasny udah antri e ticket dihambat gini sih vaksin,Sumatera Selatan,Januari,13,plindungi sistem gangguan sih daftar ulang puskesmasny antri e ticket dihambat gini sih,plindungi sistem ganggu sih daftar ulang puskesmasny antri e ticket hambat gin sih,-11,negative,2,plindungi sistem ganggu sih daftar ulang puskesmasny udah antri e ticket hambat gin sih vaksin
like i said puaskan hati im not backing them up but i do remember vaksin suruh politician ambik vaksin 😂 https,Kalimantan Tengah,Februari,18,like i said puaskan hati im not backing them up but i do remember suruh politician ambik https,like i said puas hati im not backing them up but i do remember suruh politician ambik https,3,positive,1,like i said puas hati im not backing them up but i do remember vaksin suruh politician ambik vaksin
imaqueennz coba videonya dinjeksi vaksin berbentuk cairan logika,Papua,Mei,7,imaqueennz coba videonya dinjeksi berbentuk cairan logika,imaqueennz coba video dinjeksi bentuk cair logika,5,positive,1,imaqueennz coba video dinjeksi vaksin bentuk cair logika
india gangga indonesia mudik vaksin berjalan lancar cepat kenaikan mutasi alami melemah kuat cepat sitifadilah,Lampung,Juni,14,india gangga indonesia mudik berjalan lancar cepat kenaikan mutasi alami melemah kuat cepat sitifadilah,india gangga indonesia mudik jalan lancar cepat naik mutasi alami lemah kuat cepat sitifadilah,12,positive,1,india gangga indonesia mudik vaksin jalan lancar cepat naik mutasi alami lemah kuat cepat sitifadilah
satgas kepala daerah prioritaskan vaksin usia pra usia waspada provokasi https,Bengkulu,Juni,10,satgas kepala daerah prioritaskan usia pra usia waspada provokasi https,satgas kepala daerah prioritas usia pra usia waspada provokasi https,4,positive,1,satgas kepala daerah prioritas vaksin usia pra usia waspada provokasi
anzja vaksin kebal 🤣,DKI Jakarta,Maret,2,anzja kebal,anzja kebal,0,neutral,0,anzja vaksin kebal
rahasiarif habis vaksin siang😁😁😁,Sulawesi Utara,Januari,3,rahasiarif habis siang,rahasiarif habis siang,3,positive,1,rahasiarif habis vaksin siang
kabar jogjakarta pelaku sektor pariwisata suntik vaksin pemerintah daerah wisatawan hasil tes swab antigen wisata kota,Jawa Tengah,Maret,14,kabar jogjakarta pelaku sektor pariwisata pemerintah daerah wisatawan hasil tes swab antigen wisata kota,kabar jogjakarta laku sektor pariwisata perintah daerah wisatawan hasil tes swab antigen wisata kota,5,positive,1,kabar jogjakarta laku sektor pariwisata suntik vaksin perintah daerah wisatawan hasil tes swab antigen wisata kota
launching vaksin putussibau https,Kalimantan Barat,Maret,3,launching putussibau https,launching putussibau https,0,neutral,0,launching vaksin putussibau
menit dipanggil tensi loh cepat tensi disuruh isi form vaksin kendala dijadwalkan vaksin keterangan pengantar vaksin pelayanan publik perbolehkan,Jawa Timur,Juni,16,menit dipanggil tensi loh cepat tensi disuruh isi form kendala dijadwalkan keterangan pengantar pelayanan publik perbolehkan,menit panggil tensi loh cepat tensi suruh isi form kendala jadwal terang antar layan publik boleh,0,neutral,0,menit panggil tensi loh cepat tensi suruh isi form vaksin kendala jadwal vaksin terang antar vaksin layan publik boleh
wujudkan commander wish kapolri transpormasi operasional personil polsek padangbai kontrol penyimpanan vaksin sinovak kespel p bai polreskarangasemid infokarangasemid infoamlapura nyomansuartinireal madesuadnyananopa https,Nusa Tenggara Barat,Mei,21,wujudkan commander wish kapolri transpormasi operasional personil polsek padangbai kontrol penyimpanan sinovak kespel p bai polreskarangasemid infokarangasemid infoamlapura nyomansuartinireal madesuadnyananopa https,wujud commander wish kapolri transpormasi operasional personil polsek padangbai kontrol simpan sinovak kespel p bai polreskarangasemid infokarangasemid infoamlapura nyomansuartinireal madesuadnyananopa https,-1,negative,2,wujud commander wish kapolri transpormasi operasional personil polsek padangbai kontrol simpan vaksin sinovak kespel p bai polreskarangasemid infokarangasemid infoamlapura nyomansuartinireal madesuadnyananopa
dhiasalma vaksin,Jawa Tengah,Mei,1,dhiasalma,dhiasalma,0,neutral,0,dhiasalma vaksin
sobat polri vaksinasi dilaksanakan sasaran prioritas tenaga kesehatan vaksinasi masyarakat menunggu menit lokasi penyuntikan vaksin sih alasannya ayo simak https,Sulawesi Selatan,Maret,17,sobat polri dilaksanakan sasaran prioritas tenaga kesehatan masyarakat menunggu menit lokasi penyuntikan sih alasannya ayo simak https,sobat polri laksana sasar prioritas tenaga sehat masyarakat tunggu menit lokasi sunti sih alas ayo simak https,19,positive,1,sobat polri vaksinasi laksana sasar prioritas tenaga sehat vaksinasi masyarakat tunggu menit lokasi sunti vaksin sih alas ayo simak
panglima tni kapolri tinjau pelaksaan vaksin personel polda jatim https,Nusa Tenggara Barat,Maret,9,panglima tni kapolri tinjau pelaksaan personel polda jatim https,panglima tni kapolri tinjau laksa personel polda jatim https,3,positive,1,panglima tni kapolri tinjau laksa vaksin personel polda jatim
vaksin nagih anjengg putaw,DKI Jakarta,Juni,3,nagih anjengg putaw,nagih anjengg putaw,0,neutral,0,vaksin nagih anjengg putaw
vaksin ngantuk melulu neh,DKI Jakarta,Januari,3,ngantuk melulu neh,ngantuk melulu neh,-5,negative,2,vaksin ngantuk melulu neh
zoelhayat vaksin tuh sech nanya serius 😊,Jawa Barat,Januari,4,zoelhayat tuh sech serius,zoelhayat tuh sech serius,-5,negative,2,zoelhayat vaksin tuh sech nanya serius
sdh vaksin wajib prokes https tcotfcczvghxr,Sulawesi Utara,Februari,5,sdh wajib prokes https tcotfcczvghxr,sdh wajib prokes https tcotfcczvghxr,-2,negative,2,sdh vaksin wajib prokes tcotfcczvghxr
hidung mampet bereaksi sang vaksin,Sulawesi Utara,Maret,4,hidung mampet bereaksi sang,hidung mampet reaksi sang,-3,negative,2,hidung mampet reaksi sang vaksin
vaksin massal kawasan pabrik kulipabrik https,Kepulauan Riau,Juni,5,massal kawasan pabrik kulipabrik https,massal kawasan pabrik kulipabrik https,0,neutral,0,vaksin massal kawasan pabrik kulipabrik
rumah vaksin enak dikasih es krim😭 saran vaksin ikea kotbar biar dikasih es krim🙏🏻 https,Jawa Barat,Juni,13,rumah enak dikasih es krim saran ikea kotbar biar dikasih es krim https,rumah enak kasih es krim saran ikea kotbar biar kasih es krim https,17,positive,1,rumah vaksin enak kasih es krim saran vaksin ikea kotbar biar kasih es krim
deh vaksin masal pas haid pas beres vaksinnya habis mah susah dapetny,Sulawesi Selatan,Juni,11,deh masal pas haid pas beres vaksinnya habis mah susah dapetny,deh masal pas haid pas beres vaksin habis mah susah dapetny,6,positive,1,deh vaksin masal pas haid pas beres vaksin habis mah susah dapetny
me mak owg deh daftar deh vaksin ngn mak haa p inject depa habaq deh kakak sabaq sabaqqqq 🙂,Aceh,Maret,17,me owg deh daftar deh ngn haa p inject depa habaq deh kakak sabaq sabaq,me owg deh daftar deh ngn haa p inject depa habaq deh kakak sabaq sabaq,1,positive,1,me mak owg deh daftar deh vaksin ngn mak haa p inject depa habaq deh kakak sabaq sabaqqqq
ayo vaksin gaeess biar kuat imunnya https tcoynrjogspsr,Kalimantan Utara,Januari,7,ayo gaeess biar kuat imunnya https tcoynrjogspsr,ayo gaeess biar kuat imun https tcoynrjogspsr,7,positive,1,ayo vaksin gaeess biar kuat imun tcoynrjogspsr
popoury txtdrpemerintah vaksin berpengaruh kebal dr virus kak jd sebenernya vaksin vaksin sih,Bali,Januari,8,popoury txtdrpemerintah berpengaruh kebal dr kak sebenernya sih,popoury txtdrpemerintah pengaruh kebal dr kak sebenernya sih,4,positive,1,popoury txtdrpemerintah vaksin pengaruh kebal dr virus kak jd sebenernya vaksin vaksin sih
slwnada vaksin selang,DI Yogyakarta,Januari,2,slwnada selang,slwnada selang,0,neutral,0,slwnada vaksin selang
berdosa tolak vaksin adakah vaksin agenda illuminati jawapan ustaz muhaizad antivax hadam ayat https,Sulawesi Utara,Mei,12,berdosa tolak adakah agenda illuminati jawapan ustaz muhaizad antivax hadam ayat https,dosa tolak ada agenda illuminati jawapan ustaz muhaizad antivax hadam ayat https,-8,negative,2,dosa tolak vaksin ada vaksin agenda illuminati jawapan ustaz muhaizad antivax hadam ayat
ibmahararta hebatnya vaksin diuji dibeli bikin beli negara,Kalimantan Selatan,Januari,7,ibmahararta hebatnya diuji dibeli bikin beli negara,ibmahararta hebat uji beli bikin beli negara,5,positive,1,ibmahararta hebat vaksin uji beli bikin beli negara
ga rebutan vaksin,Lampung,Juni,2,ga rebutan,ga rebut,-1,negative,2,ga rebut vaksin
vaksin pertama☝ https,Aceh,Juni,1,https,https,0,neutral,0,vaksin pertama
lsowien vakainasi memiliki syarat dok sdg mengalami penurunan imunitas ditunda vaksin,Lampung,Februari,10,lsowien vakainasi memiliki syarat dok sdg mengalami penurunan imunitas ditunda,lsowien vakainasi milik syarat dok sdg alami turun imunitas tunda,3,positive,1,lsowien vakainasi milik syarat dok sdg alami turun imunitas tunda vaksin
vaksin maap posting ulang nomor hp nya eh rquote 😂😂 https,Banten,April,9,maap posting ulang nomor hp nya eh rquote https,maap posting ulang nomor hp nya eh rquote https,-3,negative,2,vaksin maap posting ulang nomor hp nya eh rquote
kota mah tahap bandung mah hijihiji acan vaksin ngan saparapat ge acan,Jawa Barat,Maret,11,kota mah tahap bandung mah hijihiji acan ngan saparapat ge acan,kota mah tahap bandung mah hijihiji acan ngan saparapat ge acan,0,neutral,0,kota mah tahap bandung mah hijihiji acan vaksin ngan saparapat ge acan
valid mi ayam wardoyo bjbj vaksin sesungguhnya https,Kalimantan Timur,Juni,7,valid mi ayam wardoyo bjbj sesungguhnya https,valid mi ayam wardoyo bjbj sungguh https,0,neutral,0,valid mi ayam wardoyo bjbj vaksin sungguh
fix jadwal vaksin 😐,Bali,April,2,fix jadwal,fix jadwal,0,neutral,0,fix jadwal vaksin
vaksin salah jalan keamanan masyarakat halimiskandarnu jajankoswara kemendespdtt https,Jawa Timur,April,8,salah jalan keamanan masyarakat halimiskandarnu jajankoswara kemendespdtt https,salah jalan aman masyarakat halimiskandarnu jajankoswara kemendespdtt https,-4,negative,2,vaksin salah jalan aman masyarakat halimiskandarnu jajankoswara kemendespdtt
deh penat macammacam message merapu pasal vaksinpusat cucuk vaksin forward whatsapp,Sulawesi Utara,Mei,10,deh penat macammacam message merapu pasal vaksinpusat cucuk forward whatsapp,deh penat macammacam message merapu pasal vaksinpusat cucuk forward whatsapp,-3,negative,2,deh penat macammacam message merapu pasal vaksinpusat cucuk vaksin forward whatsapp
abis vaksin efek apaapa tangan kemeng banget pegel bawa beban beban 🤣,Jawa Tengah,April,10,habis efek apaapa tangan kemeng banget pegel bawa beban beban,habis efek apaapa tangan kemeng banget gel bawa beban beban,-1,negative,2,abis vaksin efek apaapa tangan kemeng banget gel bawa beban beban
melaksananka vaksin covid https,Kalimantan Tengah,April,2,melaksananka https,melaksananka https,0,neutral,0,melaksananka vaksin covid
